"LANG","LANG_NAME","COUNTRY_ALPHA2_CODE","COUNTRY_ALPHA3_CODE","COUNTRY_NUMERIC_CODE","COUNTRY_NAME"
"ZH-CN","CHINESE SIMPLIFIED","LT","LTU","440","立陶宛"
"ZH-CN","CHINESE SIMPLIFIED","LU","LUX","442","卢森堡"
"ZH-CN","CHINESE SIMPLIFIED","LV","LVA","428","拉脱维亚"
"ZH-CN","CHINESE SIMPLIFIED","LY","LBY","434","利比亚"
"ZH-CN","CHINESE SIMPLIFIED","MA","MAR","504","摩洛哥"
"ZH-CN","CHINESE SIMPLIFIED","MC","MCO","492","摩纳哥"
"ZH-CN","CHINESE SIMPLIFIED","MD","MDA","498","摩尔多瓦"
"ZH-CN","CHINESE SIMPLIFIED","ME","MNE","499","黑山"
"ZH-CN","CHINESE SIMPLIFIED","MF","MAF","663","法属圣马丁"
"ZH-CN","CHINESE SIMPLIFIED","MG","MDG","450","马达加斯加"
"ZH-CN","CHINESE SIMPLIFIED","MH","MHL","584","马绍尔群岛"
"ZH-CN","CHINESE SIMPLIFIED","MK","MKD","807","马其顿"
"ZH-CN","CHINESE SIMPLIFIED","ML","MLI","466","马里"
"ZH-CN","CHINESE SIMPLIFIED","MM","MMR","104","缅甸"
"ZH-CN","CHINESE SIMPLIFIED","MN","MNG","496","蒙古"
"ZH-CN","CHINESE SIMPLIFIED","MO","MAC","446","澳门"
"ZH-CN","CHINESE SIMPLIFIED","MP","MNP","580","北马里亚纳群岛"
"ZH-CN","CHINESE SIMPLIFIED","MQ","MTQ","474","马提尼克"
"ZH-CN","CHINESE SIMPLIFIED","MR","MRT","478","毛里塔尼亚"
"ZH-CN","CHINESE SIMPLIFIED","MS","MSR","500","蒙塞拉特岛"
"ZH-CN","CHINESE SIMPLIFIED","MT","MLT","470","马耳他"
"ZH-CN","CHINESE SIMPLIFIED","MU","MUS","480","毛里求斯"
"ZH-CN","CHINESE SIMPLIFIED","MV","MDV","462","马尔代夫"
"ZH-CN","CHINESE SIMPLIFIED","MW","MWI","454","马拉维"
"ZH-CN","CHINESE SIMPLIFIED","MX","MEX","484","墨西哥"
"ZH-CN","CHINESE SIMPLIFIED","MY","MYS","458","马来西亚"
"ZH-CN","CHINESE SIMPLIFIED","MZ","MOZ","508","莫桑比克"
"ZH-CN","CHINESE SIMPLIFIED","NA","NAM","516","纳米比亚"
"ZH-CN","CHINESE SIMPLIFIED","NC","NCL","540","新喀里多尼亚"
"ZH-CN","CHINESE SIMPLIFIED","NE","NER","562","尼日尔"
"ZH-CN","CHINESE SIMPLIFIED","NF","NFK","574","诺福克岛"
"ZH-CN","CHINESE SIMPLIFIED","NG","NGA","566","尼日利亚"
"ZH-CN","CHINESE SIMPLIFIED","NI","NIC","558","尼加拉瓜"
"ZH-CN","CHINESE SIMPLIFIED","NL","NLD","528","荷兰"
"ZH-CN","CHINESE SIMPLIFIED","NO","NOR","578","挪威"
"ZH-CN","CHINESE SIMPLIFIED","NP","NPL","524","尼泊尔"
"ZH-CN","CHINESE SIMPLIFIED","NR","NRU","520","瑙鲁"
"ZH-CN","CHINESE SIMPLIFIED","NU","NIU","570","纽埃"
"ZH-CN","CHINESE SIMPLIFIED","NZ","NZL","554","新西兰"
"ZH-CN","CHINESE SIMPLIFIED","OM","OMN","512","阿曼"
"ZH-CN","CHINESE SIMPLIFIED","PA","PAN","591","巴拿马"
"ZH-CN","CHINESE SIMPLIFIED","PE","PER","604","秘鲁"
"ZH-CN","CHINESE SIMPLIFIED","PF","PYF","258","法属波利尼西亚"
"ZH-CN","CHINESE SIMPLIFIED","PG","PNG","598","巴布亚新几内亚"
"ZH-CN","CHINESE SIMPLIFIED","PH","PHL","608","菲律宾"
"ZH-CN","CHINESE SIMPLIFIED","PK","PAK","586","巴基斯坦"
"ZH-CN","CHINESE SIMPLIFIED","PL","POL","616","波兰"
"ZH-CN","CHINESE SIMPLIFIED","PM","SPM","666","圣皮埃尔和密克隆群岛"
"ZH-CN","CHINESE SIMPLIFIED","PN","PCN","612","皮特凯恩群岛"
"ZH-CN","CHINESE SIMPLIFIED","PR","PRI","630","波多黎各"
"ZH-CN","CHINESE SIMPLIFIED","PS","PSE","275","巴勒斯坦"
"ZH-CN","CHINESE SIMPLIFIED","PT","PRT","620","葡萄牙"
"ZH-CN","CHINESE SIMPLIFIED","PW","PLW","585","帕劳"
"ZH-CN","CHINESE SIMPLIFIED","PY","PRY","600","巴拉圭"
"ZH-CN","CHINESE SIMPLIFIED","QA","QAT","634","卡塔尔"
"ZH-CN","CHINESE SIMPLIFIED","RE","REU","638","留尼汪"
"ZH-CN","CHINESE SIMPLIFIED","RO","ROU","642","罗马尼亚"
"ZH-CN","CHINESE SIMPLIFIED","RS","SRB","688","塞尔维亚"
"ZH-CN","CHINESE SIMPLIFIED","RU","RUS","643","俄罗斯"
"ZH-CN","CHINESE SIMPLIFIED","RW","RWA","646","卢旺达"
"ZH-CN","CHINESE SIMPLIFIED","SA","SAU","682","沙特阿拉伯"
"ZH-CN","CHINESE SIMPLIFIED","SB","SLB","90","所罗门群岛"
"ZH-CN","CHINESE SIMPLIFIED","SC","SYC","690","塞舌尔"
"ZH-CN","CHINESE SIMPLIFIED","SD","SDN","729","苏丹"
"ZH-CN","CHINESE SIMPLIFIED","SE","SWE","752","瑞典"
"ZH-CN","CHINESE SIMPLIFIED","SG","SGP","702","新加坡"
"ZH-CN","CHINESE SIMPLIFIED","SH","SHN","654","圣赫勒拿岛"
"ZH-CN","CHINESE SIMPLIFIED","SI","SVN","705","斯洛文尼亚"
"ZH-CN","CHINESE SIMPLIFIED","SJ","SJM","744","斯瓦尔巴群岛和扬马延岛"
"ZH-CN","CHINESE SIMPLIFIED","SK","SVK","703","斯洛伐克"
"ZH-CN","CHINESE SIMPLIFIED","SL","SLE","694","塞拉利昂"
"ZH-CN","CHINESE SIMPLIFIED","SM","SMR","674","圣马力诺"
"ZH-CN","CHINESE SIMPLIFIED","SN","SEN","686","塞内加尔"
"ZH-CN","CHINESE SIMPLIFIED","SO","SOM","706","索马里"
"ZH-CN","CHINESE SIMPLIFIED","SR","SUR","740","苏里南"
"ZH-CN","CHINESE SIMPLIFIED","SS","SSD","728","南苏丹"
"ZH-CN","CHINESE SIMPLIFIED","ST","STP","678","圣多美和普林西比"
"ZH-CN","CHINESE SIMPLIFIED","SV","SLV","222","萨尔瓦多"
"ZH-CN","CHINESE SIMPLIFIED","SX","SXM","534","圣马丁岛"
"ZH-CN","CHINESE SIMPLIFIED","SY","SYR","760","叙利亚"
"ZH-CN","CHINESE SIMPLIFIED","SZ","SWZ","748","斯威士兰"
"ZH-CN","CHINESE SIMPLIFIED","TC","TCA","796","特克斯和凯科斯群岛"
"ZH-CN","CHINESE SIMPLIFIED","TD","TCD","148","乍得"
"ZH-CN","CHINESE SIMPLIFIED","TF","ATF","260","法属南部领地"
"ZH-CN","CHINESE SIMPLIFIED","TG","TGO","768","多哥"
"ZH-CN","CHINESE SIMPLIFIED","TH","THA","764","泰国"
"ZH-CN","CHINESE SIMPLIFIED","TJ","TJK","762","塔吉克斯坦"
"ZH-CN","CHINESE SIMPLIFIED","TK","TKL","772","托克劳群岛"
"ZH-CN","CHINESE SIMPLIFIED","TL","TLS","626","东帝汶"
"ZH-CN","CHINESE SIMPLIFIED","TM","TKM","795","土库曼斯坦"
"ZH-CN","CHINESE SIMPLIFIED","TN","TUN","788","突尼斯"
"ZH-CN","CHINESE SIMPLIFIED","TO","TON","776","汤加"
"ZH-CN","CHINESE SIMPLIFIED","TR","TUR","792","土耳其"
"ZH-CN","CHINESE SIMPLIFIED","TT","TTO","780","特立尼达和多巴哥"
"ZH-CN","CHINESE SIMPLIFIED","TV","TUV","798","图瓦卢"
"ZH-CN","CHINESE SIMPLIFIED","TW","TWN","158","台湾"
"ZH-CN","CHINESE SIMPLIFIED","TZ","TZA","834","坦桑尼亚"
"ZH-CN","CHINESE SIMPLIFIED","UA","UKR","804","乌克兰"
"ZH-CN","CHINESE SIMPLIFIED","UG","UGA","800","乌干达"
"ZH-CN","CHINESE SIMPLIFIED","UM","UMI","581","美国本土外小岛屿"
"ZH-CN","CHINESE SIMPLIFIED","US","USA","840","美国"
"ZH-CN","CHINESE SIMPLIFIED","UY","URY","858","乌拉圭"
"ZH-CN","CHINESE SIMPLIFIED","UZ","UZB","860","乌兹别克斯坦"
"ZH-CN","CHINESE SIMPLIFIED","VA","VAT","336","梵蒂冈"
"ZH-CN","CHINESE SIMPLIFIED","VC","VCT","670","圣文森特和格林纳丁斯"
"ZH-CN","CHINESE SIMPLIFIED","VE","VEN","862","委内瑞拉"
"ZH-CN","CHINESE SIMPLIFIED","VG","VGB","92","英属维尔京群岛"
"ZH-CN","CHINESE SIMPLIFIED","VI","VIR","850","美属维尔京群岛"
"ZH-CN","CHINESE SIMPLIFIED","VN","VNM","704","越南"
"ZH-CN","CHINESE SIMPLIFIED","VU","VUT","548","瓦努阿图"
"ZH-CN","CHINESE SIMPLIFIED","WF","WLF","876","瓦利斯和富圖納群島"
"ZH-CN","CHINESE SIMPLIFIED","WS","WSM","882","萨摩亚"
"ZH-CN","CHINESE SIMPLIFIED","YE","YEM","887","也门"
"ZH-CN","CHINESE SIMPLIFIED","YT","MYT","175","马约特"
"ZH-CN","CHINESE SIMPLIFIED","ZA","ZAF","710","南非"
"ZH-CN","CHINESE SIMPLIFIED","ZM","ZMB","894","赞比亚"
"ZH-CN","CHINESE SIMPLIFIED","ZW","ZWE","716","津巴布韦"
